"nta_name","location_name","latitude","longitude"
"Pelham Bay-Country Club-City Island","P.S. 071 Rose E. Scala","40.845379","-73.829562"
"Allerton-Pelham Gardens","P.S. 097 Bronx","40.863524","-73.846768"
"New Springville-Bloomfield-Travis","P.S. 054 Charles W. Leng","40.602779","-74.137259"
"South Ozone Park","Hawtree Creek Middle School","40.675021","-73.81673"
"East Harlem North","P.S. M079 - Horan School","40.802547","-73.942009"
"Longwood","Bronx Career and College Preparatory High School","40.826933","-73.900593"
"Stuyvesant Heights","EMBER Charter School for Mindful Education, Innova","40.688323","-73.935509"
"Hammels-Arverne-Edgemere","Goldie Maple Academy","40.594008","-73.786649"
"Canarsie","I.S. 211 John Wilson","40.642931","-73.895224"
"Highbridge","P.S. 126 Dr Marjorie H Dunbar","40.835866","-73.9282"
"Washington Heights North","Middle School 322","40.860951","-73.930082"
"Bushwick North","J.H.S. 383 Philippa Schuyler","40.697898","-73.919088"
"Bedford","P.S. 023 Carter G. Woodson","40.69447","-73.947256"
"Mott Haven-Port Morris","International Community High School","40.810314","-73.918774"
"West Farms-Bronx River","The Metropolitan Soundview High School","40.832508","-73.878191"
"Manhattanville","Academy for Social Action","40.815747","-73.95552"
"South Ozone Park","Future Leaders High School At The John Adams Campu","40.680065","-73.838616"
"Bensonhurst West","P.S. 247 Brooklyn","40.612247","-73.987195"
"Norwood","P469X - The Bronx School for Continuous Learners","40.872559","-73.875375"
"Far Rockaway-Bayswater","M.S. 053 Brian Piccolo","40.604019","-73.749891"
"Crown Heights South","Clara Barton High School","40.669805","-73.960689"
"Ft. Totten-Bay Terrace-Clearview","BELL Academy","40.782331","-73.77843"
"Hunters Point-Sunnyside-West Maspeth","P.S. 150 Queens","40.745887","-73.923375"
"New Brighton-Silver Lake","P.S. 045 John Tyler","40.628419","-74.107537"
"University Heights-Morris Heights","P.S. 230 Dr Roland N. Patterson","40.8524","-73.9216"
"Canarsie","Brooklyn Community High School for Excellence and","40.634451","-73.916927"
"Queensbridge-Ravenswood-Long Island City","P.S. 112 Dutch Kills","40.757293","-73.933562"
"Soundview-Bruckner","Blueprint Middle School","40.829153","-73.857882"
"East New York","P.S. 345 Patrolman Robert Bolden","40.676207","-73.879886"
"St. Albans","P.S. 136 Roy Wilkins","40.69894","-73.752694"
"Washington Heights North","Washington Heights Expeditionary Learning School","40.849311","-73.930991"
"Fordham South","Jonas Bronck Academy","40.860987","-73.891562"
"Marble Hill-Inwood","Bronx Theatre High School","40.877379","-73.912686"
"Mount Hope","Young Women's Leadership School of the Bronx","40.848552","-73.909022"
"Charleston-Richmond Valley-Tottenville","The Kathleen Grimm School for Leadership and Susta","40.541563","-74.217934"
"Schuylerville-Throgs Neck-Edgewater Park","P.S. X014 Senator John Calandra","40.835318","-73.826277"
"Middle Village","P.S. 049 Dorothy Bonawit Kole","40.719567","-73.875493"
"Brownsville","Brooklyn Ascend Charter School","40.661945","-73.92044"
"Greenpoint","John Ericsson Middle School 126","40.719818","-73.947932"
"Norwood","P.S./M.S. 280 Mosholu Parkway","40.876819","-73.881245"
"Schuylerville-Throgs Neck-Edgewater Park","Bronx Delta School","40.826794","-73.818083"
"Lincoln Square","Fiorello H. LaGuardia High School of Music & Art a","40.774202","-73.985976"
"Co-op City","P.S. X596","40.874035","-73.831669"
"Norwood","P.S. 094 Kings College School","40.880661","-73.875268"
"Clinton","Urban Assembly Gateway School for Technology","40.763655","-73.990318"
"Central Harlem North-Polo Grounds","The Urban Assembly School for Global Commerce","40.807019","-73.938714"
"Gramercy","P.S. 040 Augustus Saint-Gaudens","40.735328","-73.981536"
"Auburndale","P.S. Q177","40.7434","-73.787419"
"North Corona","P.S. 092 Harry T. Stewart Sr.","40.755983","-73.868773"
"Annadale-Huguenot-Prince's Bay-Eltingville","P.S. 003 The Margaret Gioiosa School","40.520812","-74.21185"
"South Jamaica","P.S. 160 Walter Francis Bishop","40.688373","-73.799685"
"Marble Hill-Inwood","Muscota","40.866381","-73.923818"
"Brownsville","Metropolitan Diploma Plus High School","40.655644","-73.906662"
"Bath Beach","P.S. 163 Bath Beach","40.606739","-74.007469"
"Grasmere-Arrochar-Ft. Wadsworth","P.S. 048 William G. Wilcox","40.603492","-74.091239"
"Jamaica","Queens Satellite High School for Opportunity","40.708204","-73.799532"
"Ridgewood","Middle Village Prep Charter School","40.710973","-73.888325"
"Crotona Park East","Emolior Academy","40.839297","-73.879931"
"North Riverdale-Fieldston-Riverdale","P.S. 024 Spuyten Duyvil","40.886922","-73.915114"
"Windsor Terrace","Brooklyn Urban Garden Charter School","40.656202","-73.982624"
"DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Urban Assembly School of Music and Art","40.69733","-73.984528"
"Co-op City","P.S. 178 - Dr. Selman Waksman","40.874035","-73.831669"
"Canarsie","South Shore High School","40.634451","-73.916927"
"West New Brighton-New Brighton-St. George","P.S. 019 The Curtis School","40.630563","-74.126851"
"Midtown-Midtown South","Jacqueline Kennedy Onassis High School","40.757626","-73.98346"
"Crotona Park East","P.S. 134 George F. Bristow","40.831613","-73.894241"
"Marble Hill-Inwood","Paula Hedbavny School","40.871673","-73.912339"
"Bedford","Literacy Center - Brooklyn","40.685","-73.9472"
"Longwood","Holcombe L. Rucker School of Community Research","40.817741","-73.897876"
"Allerton-Pelham Gardens","P.S. 076 The Bennington School","40.869059","-73.860928"
"New Springville-Bloomfield-Travis","New Ventures Charter School","40.607104","-74.178183"
"Bayside-Bayside Hills","P.S. 041 Crocheron","40.770155","-73.771225"
"East Harlem South","JHS 099","40.7856","-73.9425"
"Bath Beach","P.S. 748 Brooklyn School for Global Scholars","40.606739","-74.007469"
"Kew Gardens Hills","P.S. 154 Queens","40.726473","-73.80775"
"Washington Heights North","P.S./I.S. 187 Hudson Cliffs","40.856239","-73.93684"
"Canarsie","P.S. 276 Louis Marshall","40.634005","-73.908436"
"Marble Hill-Inwood","John F. Kennedy High School","40.877379","-73.912686"
"Belmont","Thomas C. Giordano Middle School 45","40.858389","-73.887026"
"Borough Park","The SEEALL Academy","40.626454","-73.98925"
"Bayside-Bayside Hills","Bayside High School","40.771398","-73.781041"
"West Concourse","P.S./I.S. 218 Rafael Hernandez Dual Language Magne","40.835681","-73.919571"
"Manhattanville","Urban Assembly School for the Performing Arts","40.815747","-73.95552"
"Clinton","City Knoll Middle School","40.76588","-73.989776"
