borough,latitude,longitude,crash_time,contributing_factor_vehicle_1
BROOKLYN,40.708363,-73.924010,11:10:00,Driver Inattention/Distraction
QUEENS,40.739525,-73.925120,11:20:00,Driver Inattention/Distraction
QUEENS,40.694294,-73.748680,16:10:00,Unspecified
QUEENS,40.694748,-73.734270,9:29:00,Driver Inattention/Distraction
BROOKLYN,0.000000,0.000000,15:00:00,Driver Inattention/Distraction
QUEENS,40.678750,-73.794000,8:24:00,Traffic Control Disregarded
BROOKLYN,40.666943,-73.890144,13:16:00,Driver Inattention/Distraction
BROOKLYN,40.663500,-73.942760,8:30:00,Unspecified
BRONX,40.827824,-73.919340,20:17:00,Failure to Yield Right-of-Way
STATEN ISLAND,40.575832,-74.124090,16:08:00,Driver Inexperience
BROOKLYN,40.640945,-73.948520,17:47:00,Unspecified
QUEENS,40.768030,-73.877220,20:29:00,Failure to Yield Right-of-Way
BROOKLYN,40.669823,-73.909810,13:06:00,Unspecified
QUEENS,40.763546,-73.882090,20:59:00,Turning Improperly
BROOKLYN,40.637234,-73.972660,22:27:00,Unspecified
BROOKLYN,40.638313,-73.957510,7:30:00,Unspecified
BROOKLYN,40.651352,-73.892750,9:35:00,Unsafe Speed
QUEENS,40.696564,-73.791250,0:08:00,Aggressive Driving/Road Rage
MANHATTAN,40.727280,-73.979060,17:30:00,Unspecified
BROOKLYN,40.678160,-73.897484,2:12:00,Passing or Lane Usage Improper
BRONX,40.905174,-73.854170,16:49:00,Failure to Yield Right-of-Way
MANHATTAN,40.754044,-73.990074,15:00:00,Driver Inattention/Distraction
BROOKLYN,40.708675,-73.936990,13:45:00,Driver Inattention/Distraction
BROOKLYN,40.651030,-73.930320,18:45:00,Traffic Control Disregarded
BROOKLYN,40.645985,-74.007230,0:00:00,Passing Too Closely
QUEENS,40.794773,-73.816185,15:05:00,Failure to Yield Right-of-Way
MANHATTAN,40.845467,-73.940475,21:04:00,Driver Inattention/Distraction
QUEENS,40.658947,-73.734720,8:20:00,Following Too Closely
BROOKLYN,40.597270,-73.998680,18:23:00,Driver Inattention/Distraction
BRONX,40.878155,-73.840050,21:20:00,Traffic Control Disregarded
BROOKLYN,40.696983,-73.935234,22:20:00,Unspecified
BRONX,40.821075,-73.882126,16:00:00,Unspecified
BRONX,40.887650,-73.841670,11:00:00,Unspecified
QUEENS,40.687843,-73.820050,8:45:00,Passing or Lane Usage Improper
BROOKLYN,40.673252,-73.877730,22:32:00,Driver Inattention/Distraction
BROOKLYN,40.669900,-73.951160,11:00:00,Unspecified
BROOKLYN,40.635290,-73.958206,18:10:00,Unspecified
BROOKLYN,40.717720,-73.962020,13:00:00,Unspecified
QUEENS,40.714930,-73.793160,17:03:00,Driver Inattention/Distraction
BROOKLYN,40.730198,-73.954254,14:54:00,Driver Inattention/Distraction
BROOKLYN,40.681335,-73.976670,16:20:00,Other Vehicular
QUEENS,40.756557,-73.875940,2:10:00,Alcohol Involvement
BROOKLYN,40.677920,-73.918200,15:30:00,Driver Inattention/Distraction
BROOKLYN,40.607876,-73.925540,7:44:00,Turning Improperly
STATEN ISLAND,40.540188,-74.149000,13:45:00,Passing or Lane Usage Improper
BROOKLYN,40.616306,-74.033480,0:00:00,Driver Inattention/Distraction
BRONX,40.877827,-73.879585,9:30:00,Unsafe Lane Changing
QUEENS,40.774510,-73.838036,15:45:00,Following Too Closely
MANHATTAN,40.797405,-73.942535,13:25:00,Driver Inattention/Distraction
MANHATTAN,40.740580,-73.978935,15:10:00,Driver Inattention/Distraction
BRONX,40.829723,-73.898100,12:12:00,Unspecified
QUEENS,40.740600,-73.810250,9:15:00,Backing Unsafely
QUEENS,40.713630,-73.917885,16:20:00,Backing Unsafely
BROOKLYN,40.647594,-73.973510,9:00:00,Unspecified
MANHATTAN,40.719750,-73.992165,11:15:00,Driver Inattention/Distraction
STATEN ISLAND,40.631150,-74.076454,15:34:00,Failure to Yield Right-of-Way
STATEN ISLAND,40.635400,-74.106674,12:15:00,Unspecified
QUEENS,40.781647,-73.833664,14:30:00,Driver Inattention/Distraction
BROOKLYN,40.688370,-73.980560,5:39:00,Driver Inattention/Distraction
MANHATTAN,40.790417,-73.951840,22:00:00,Other Vehicular
BROOKLYN,40.648100,-73.914740,20:00:00,Driver Inattention/Distraction
QUEENS,40.712750,-73.767300,14:00:00,Driver Inattention/Distraction
QUEENS,40.738068,-73.861046,17:00:00,Driver Inattention/Distraction
QUEENS,40.680496,-73.821365,23:09:00,Passing Too Closely
BROOKLYN,40.619240,-73.954124,15:32:00,Failure to Yield Right-of-Way
BROOKLYN,40.629105,-74.034645,22:45:00,Unspecified
BROOKLYN,40.699818,-73.920135,11:40:00,Passing Too Closely
QUEENS,40.698020,-73.762300,10:10:00,Driver Inattention/Distraction
